Match Index,Query Index,Book Name,Sentence,Similarity Score
0,0,The Highly Sensitive Person,0 is a selfassessment guide and howtolive template for people who feel relate process and notice more deeply than others and who frequently suffer from overstimulation a a result science,1.0000001
4915,0,Designing Your Work Life,4961 is a helpful guidebook for anyone who want to create and maintain a work environment that is both happy and productive by working with what they already have rather than keep on changing job in hope of finding better mindfulness,0.8520747
2168,0,Multipliers,2188 explains the five type of people who inspire support and improve others in their organization showing you how to become one a well a avoid diminishers the people who drag down others and make it harder for them to perform psychology,0.83738375
609,0,How to Raise an Adult,612 serf a a practical guide for all the parent who want to raise responsible and independent adult but often catch themselves falling into the trap of over protecting their child and actually inhibiting their natural evolution and the growing up process relationship,0.8252988
5004,0,Boundaries,5054 explains with the help of modern psychology and christian ideal how to improve your mental health and personal growth by establishing guideline for selfcare that include saying no more often and standing firm in your decision rather than letting people walk all over you mindfulness,0.8136446
768,0,12 Rules For Life,774 is a storybased stern yet entertaining selfhelp manual for young people laying out a set of simple rule to help u become more disciplined behave better act with integrity and balance our life while enjoying them a much a we can relationship,0.8102563
4953,0,10-Minute Toughness,4999 is a handson guide to becoming the best version of yourself and achieving success through consistent good practice such a eating right forming meaningful relationship committing to your goal publicly visualizing your achievement and many others mindfulness,0.80990547
667,0,Leadership and Self-Deception,673 is a guide to becoming selfaware by learning to see your fault more accurately understanding others strength and need and leaning into your natural instinct to help other people a much a possible relationship,0.809485
4732,0,An Audience Of One,4777 is a practical and inspiring manual for creator who want to live from their art showing a simple purposedriven path to achieve that goal work,0.8020127
602,0,The Comfort Crisis,605 address contemporary people who live a stressful life and talk about being comfortable with discomfort and reclaiming a happy healthy mindset by implementing a few odd but highly effective practice in their daily life relationship,0.8017616
