Match Index,Query Index,Book Name,Sentence,Similarity Score
0,0,The Highly Sensitive Person,0 is a selfassess guid and howtol templat for peopl who feel relat process and notic more deepli than other and who frequent suffer from overstimul as a result scienc,1.0
1978,0,How to Be a Conservative,1996 build the case for traditionalist and conserv peopl who view societi through the lens of someon who defend their nation the longlast valu of the world the free market and mani other healthi principl psycholog,0.6201634
1442,0,Love Warrior,1456 delv into the life of glennon doyl a woman who battl with selfdestruct behavior eat disord depress and mani more challeng befor final embrac the life she deserv and start live meaning while be true to herself product,0.6184005
1665,0,Multipliers,1682 explain the five type of peopl who inspir support and improv other in their organ show you how to becom one as well as avoid diminish the peopl who drag down other and make it harder for them to perform product,0.61332226
4155,0,The Comfort Crisis,4192 address contemporari peopl who live a stress life and talk about be comfort with discomfort and reclaim a happi healthi mindset by implement a few odd but highli effect practic in their daili live commun,0.599324
1689,0,Braving The Wilderness,1706 offer a fourstep process to find true belong through authent braveri trust and vulner sinc it mostli about learn to stand alon rather than tri to fit in product,0.59076726
1659,0,Extreme Ownership,1676 contain use leadership advic from two navi seal who learn to stay strong disciplin and levelhead in highstak combat scenario product,0.58979344
2455,0,The War Of Art,2476 bring some much need tough love to all artist busi peopl and creativ who spend more time battl the resist against work than actual work by identifi the procrastin forc at play and pull out the rug from under their feet psycholog,0.5834557
901,0,How to Raise an Adult,908 serv as a practic guid for all the parent who want to rais respons and independ adult but often catch themselv fall into the trap of over protect their children and actual inhibit their natur evolut and the grow up process happi,0.5819514
4915,0,Designing Your Work Life,4961 is a help guidebook for anyon who want to creat and maintain a work environ that is both happi and product by work with what they alreadi have rather than keep on chang job in hope of find better mind,0.56833655
