Match Index,Query Index,Book Name,Sentence,Similarity Score
0,0,The Highly Sensitive Person,0 is a selfassess guid and howtol templat for peopl who feel relat process and notic more deepli than other and who frequent suffer from overstimul as a result scienc,1.0000001
2168,0,Multipliers,2188 explain the five type of peopl who inspir support and improv other in their organ show you how to becom one as well as avoid diminish the peopl who drag down other and make it harder for them to perform psycholog,0.75189894
4915,0,Designing Your Work Life,4961 is a help guidebook for anyon who want to creat and maintain a work environ that is both happi and product by work with what they alreadi have rather than keep on chang job in hope of find better mind,0.7412947
901,0,How to Raise an Adult,908 serv as a practic guid for all the parent who want to rais respons and independ adult but often catch themselv fall into the trap of over protect their children and actual inhibit their natur evolut and the grow up process happi,0.7390965
1534,0,Thoughts Without A Thinker,1551 help you get more peac overcom mental ill and eas suffer by outlin the principl of buddhism mind and medit as they relat to psychoanalysi product,0.73829395
4956,0,Toward a Psychology of Being,5002 encompass the extend research of abraham maslow on the human condit how peopl view their want and need the process of psycholog growth and how achiev a sens of fulfil is possibl by understand your perspect on need and the way your mind work mind,0.72632325
4173,0,Boundaries,4212 explain with the help of modern psycholog and christian ideal how to improv your mental health and person growth by establish guidelin for selfcar that includ say no more often and stand firm in your decis rather than let peopl walk all over you commun,0.72338355
2523,0,Loonshots,2544 explor the process of innov specif how groundbreak idea emerg from simpl thought and how import it is for organ to give cours to them by creat learn environ where peopl feel safe explor and creat motiv,0.7222517
1999,0,How To Do The Work,2017 is a goto guid that teach us how to establish a mindbodyspirit connect and creat better connect with the peopl around us by explor how these aspect are interconnect and influenc by the way we eat think and feel psycholog,0.7185894
3330,0,Eat To Live,3359 will help you lose weight feel better and live longer by identifi the flaw in what we think is true about nutrit and use scienc and case studi to reveal how certain food affect us for better or wors health,0.7173145
