Match Index,Query Index,Book Name,Sentence,Similarity Score
0,0,The Highly Sensitive Person,0 is a selfassess guid and howtol templat for peopl who feel relat process and notic more deepli than other and who frequent suffer from overstimul as a result scienc,1.0000002
4915,0,Designing Your Work Life,4961 is a help guidebook for anyon who want to creat and maintain a work environ that is both happi and product by work with what they alreadi have rather than keep on chang job in hope of find better mind,0.83968943
609,0,How to Raise an Adult,612 serv as a practic guid for all the parent who want to rais respons and independ adult but often catch themselv fall into the trap of over protect their children and actual inhibit their natur evolut and the grow up process relationship,0.83236957
2168,0,Multipliers,2188 explain the five type of peopl who inspir support and improv other in their organ show you how to becom one as well as avoid diminish the peopl who drag down other and make it harder for them to perform psycholog,0.82915986
4173,0,Boundaries,4212 explain with the help of modern psycholog and christian ideal how to improv your mental health and person growth by establish guidelin for selfcar that includ say no more often and stand firm in your decis rather than let peopl walk all over you commun,0.8262304
451,0,10-Minute Toughness,453 is a handson guid to becom the best version of yourself and achiev success through consist good practic such as eat right form meaning relationship commit to your goal publicli visual your achiev and mani other econom,0.8219075
1703,0,The 4-Hour Body,1720 is a complet guid to hack your health help you achiev anyth from rapid fat loss and quick muscl gain to better sleep sex and extrem athlet perform product,0.81979316
602,0,The Comfort Crisis,605 address contemporari peopl who live a stress life and talk about be comfort with discomfort and reclaim a happi healthi mindset by implement a few odd but highli effect practic in their daili live relationship,0.8192073
4908,0,Daily Rituals,4954 is a compil of the best practic and habit of success peopl from differ field aim to help anyon increas product get past writer block and becom more creativ and effici in their everyday work mind,0.8158753
2413,0,The In-Between,2433 is a remind to slow down and learn to appreci the littl moment in life like the time when were realli just wait for the next big thing as they shape our live a lot more than we think psycholog,0.8132895
